26125		35955		44435
26115		35948		44433
26118		35946		44432
26105		35952		44430
26112		35951		44429
26119		35947		44431
26111		35943		44430
26128		35941		44428
26114		35942		44427
26116		35944		44424
26117		35940		44426
26125		35939		44425
26118		35938		44423
26119		35935		44422
26119		35937		44424
26118		35941		44426
26115		35943		44429
26112		35942		44424
26114		35940		44421
26119		35944		44417
26112		35945		44415
26118		35947		44416
26116		35949		44419
26112		35951		44425
26125		35952		44429
26115		35954		44433
26118		35956		44435
26105		35953		44434
26112		35951		44428
26119		35950		44425
26111		35948		44426
26128		35947		44427
26114		35952		44422
26116		35948		44421
26117		35945		44416
26125		35944		44418
26118		35941		44417
26119		35943		44425
26119		35942		44429
26118		35939		44433
26115		35936		44430
26112		35937		44426
26114		35938		44425
26119		35944		44423
26112		35949		44420
26118		35948		44428
26116		35946		44434
26112		35945		44430
